panel,dataset,task,model,method,product_cells,score_bias,absolute_bias,score_rmse,max_absolute_score_error,clip_epsilon
confirmation,polish_bankruptcy_3year,binclass,native_histgb,two_disjoint_pairs64,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,catboost_native,disjoint_pair32,32,4.163336342344337e-17,4.163336342344337e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,catboost_native,independent_pair32,32,4.163336342344337e-17,4.163336342344337e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,catboost_native,mutually_disjoint_pack64,32,4.163336342344337e-17,4.163336342344337e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,catboost_native,two_disjoint_pairs64,32,4.163336342344337e-17,4.163336342344337e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,disjoint_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,independent_pair32,32,2.652026298693988e-05,2.652026298693988e-05,0.000572202305812797,0.0018114792022999038,1e-12
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,disjoint_pair32,32,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,independent_pair32,32,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,mutually_disjoint_pack64,32,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,two_disjoint_pairs64,32,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,disjoint_pair32,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,independent_pair32,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,mutually_disjoint_pack64,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,two_disjoint_pairs64,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,native_histgb,disjoint_pair32,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,native_histgb,independent_pair32,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,native_histgb,mutually_disjoint_pack64,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,native_histgb,two_disjoint_pairs64,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,catboost_native,disjoint_pair32,32,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,catboost_native,independent_pair32,32,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,catboost_native,mutually_disjoint_pack64,32,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,catboost_native,two_disjoint_pairs64,32,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,disjoint_pair32,32,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1e-12
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,independent_pair32,32,0.001801930343724778,0.001801930343724778,0.00927019487804837,0.03623719733226516,1e-12
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1e-12
