dataset,problem_type,model,seed,pair,method,split,reconstruction_error,coordinate_error,disagreement,disagreement_reduction,task_error,relative_task_change
california_housing,regression,controlled_mlp,1,local_vs_spectral_hat,GramAnchor,test,2.0851388871316656e-16,1.206163813876603e-16,0.0,1.0,63629.43785545159,0.0043857046045748
california_housing,regression,controlled_mlp,1,onehot_vs_helmert,Raw,validation,1.6019295092324714e-16,0.0,0.0586663521433465,0.0,60603.919194023496,0.0
california_housing,regression,controlled_mlp,1,onehot_vs_helmert,GramAnchor,validation,1.6019295092324714e-16,9.378063810316416e-17,0.0,1.0,59418.02590503748,-0.0195679306678067
california_housing,regression,controlled_mlp,1,onehot_vs_helmert,Raw,test,1.6019295092324714e-16,0.0,0.0558286848450642,0.0,64520.1255845563,0.0
california_housing,regression,controlled_mlp,1,onehot_vs_helmert,GramAnchor,test,1.6019295092324714e-16,9.378063810316416e-17,0.0,1.0,65553.17705155397,0.0160113058931327
california_housing,regression,controlled_mlp,2,local_vs_spectral_hat,Raw,validation,2.0851388871316656e-16,0.0,0.1624789891955961,0.0,61665.30574822032,0.0
california_housing,regression,controlled_mlp,2,local_vs_spectral_hat,GramAnchor,validation,2.0851388871316656e-16,1.206163813876603e-16,0.0,1.0,59426.65670333385,-0.0363032181179297
california_housing,regression,controlled_mlp,2,local_vs_spectral_hat,Raw,test,2.0851388871316656e-16,0.0,0.1461957373568483,0.0,64710.01619458325,0.0
california_housing,regression,controlled_mlp,2,local_vs_spectral_hat,GramAnchor,test,2.0851388871316656e-16,1.206163813876603e-16,0.0,1.0,64157.26927958487,-0.0085419066089592
california_housing,regression,controlled_mlp,2,onehot_vs_helmert,Raw,validation,1.6019295092324714e-16,0.0,0.0837575584148203,0.0,61679.386922539285,0.0
california_housing,regression,controlled_mlp,2,onehot_vs_helmert,GramAnchor,validation,1.6019295092324714e-16,9.378063810316416e-17,0.0,1.0,59103.42015650019,-0.0417638192363057
california_housing,regression,controlled_mlp,2,onehot_vs_helmert,Raw,test,1.6019295092324714e-16,0.0,0.0839704753458454,0.0,65093.57645240583,0.0
california_housing,regression,controlled_mlp,2,onehot_vs_helmert,GramAnchor,test,1.6019295092324714e-16,9.378063810316416e-17,0.0,1.0,64174.45377854668,-0.0141200211134684
credit-g,classification,controlled_mlp,0,local_vs_spectral_hat,Raw,validation,2.2040031984818126e-16,0.0,0.015955121423555,0.0,0.4681480175999926,0.0
credit-g,classification,controlled_mlp,0,local_vs_spectral_hat,GramAnchor,validation,2.2040031984818126e-16,1.1511609960611418e-16,0.0,1.0,0.4620680524935423,-0.01298727085852
credit-g,classification,controlled_mlp,0,local_vs_spectral_hat,Raw,test,2.2040031984818126e-16,0.0,0.0170433498082228,0.0,0.5107736313887118,0.0
credit-g,classification,controlled_mlp,0,local_vs_spectral_hat,GramAnchor,test,2.2040031984818126e-16,1.1511609960611418e-16,0.0,1.0,0.5118276877021293,0.0020636466893399
credit-g,classification,controlled_mlp,0,onehot_vs_helmert,Raw,validation,1.6264399465171795e-16,0.0,0.0277610859253226,0.0,0.478775969711139,0.0
credit-g,classification,controlled_mlp,0,onehot_vs_helmert,GramAnchor,validation,1.6264399465171795e-16,5.407521673497937e-17,0.0,1.0,0.4660219712687072,-0.0266387606089057
credit-g,classification,controlled_mlp,0,onehot_vs_helmert,Raw,test,1.6264399465171795e-16,0.0,0.0260183100886685,0.0,0.5118159942199334,0.0
credit-g,classification,controlled_mlp,0,onehot_vs_helmert,GramAnchor,test,1.6264399465171795e-16,5.407521673497937e-17,0.0,1.0,0.5025008509495628,-0.0182001800951296
credit-g,classification,controlled_mlp,1,local_vs_spectral_hat,Raw,validation,2.2040031984818126e-16,0.0,0.0227406960133819,0.0,0.4680701368852537,0.0
credit-g,classification,controlled_mlp,1,local_vs_spectral_hat,GramAnchor,validation,2.2040031984818126e-16,1.1511609960611418e-16,0.0,1.0,0.4611149838838628,-0.0148592111594077
credit-g,classification,controlled_mlp,1,local_vs_spectral_hat,Raw,test,2.2040031984818126e-16,0.0,0.021143752643498,0.0,0.4880041055592526,0.0
