git_commit,git_dirty,task_id,task_seed,seed,alpha,model,split,magnitude_multiplier,training_seconds,residual_usage,gate_mean,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.1,AdaptiveResidual,ood,4.0,1.0804959069937468,0.22279351184606597,0.0431545206301962,1.529133765947421,1.7023013778580565,0.9498942357290163,0.22384316891740008,0.24317726863865555
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.1,PureMLP,ood,4.0,0.709404009860009,-1.0,-1.0,0.9730030448591549,1.223816676487479,0.9741031152950539,0.1609250903524559,0.17843692779056633
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.1,PureProgram,iid,1.0,0.0,0.0,0.0,0.1325467417322983,0.15968943888463005,0.9902625679062389,0.09867842770211295,0.09935024583253492
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.1,UnpenalizedResidual,iid,1.0,0.6899525669869035,0.09404196736508624,1.0,0.04425384211232307,0.057594101075779766,0.9987333749851487,0.0355896756778042,0.03128364511397734
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.1,PenalizedScalarResidual,iid,1.0,0.7920919328462332,0.08862215105662148,0.04939430579543114,0.022620021418274707,0.030159670364274357,0.9996526676511058,0.01863685458692568,0.015871272621196975
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.1,AdaptiveResidual,iid,1.0,1.055890958989039,0.08807586908124854,0.04763613330578664,0.023972999517333705,0.03188815514368864,0.9996117147966455,0.01970495377702216,0.01587919289458175
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.1,PureMLP,iid,1.0,0.729556986829266,-1.0,-1.0,0.10016803939832641,0.12187805047452313,0.9943279108286349,0.07531327354035974,0.07624868599584936
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.1,PureProgram,ood,4.0,0.0,0.0,0.0,0.14293898929085458,0.1668596983743162,0.9995185871283544,0.021941122843773486,0.0250764558336605
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.1,UnpenalizedResidual,ood,4.0,0.6899525669869035,0.5289727505994914,1.0,3.5049130485905113,4.013264621289171,0.7215095013755551,0.5277219899004065,0.6167842674559577
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.1,PenalizedScalarResidual,ood,4.0,0.7920919328462332,0.20414592870621073,0.04939430579543114,1.3688608066543715,1.5518806830277105,0.9583580130098136,0.20406368366318006,0.23115667960031036
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.1,AdaptiveResidual,ood,4.0,1.055890958989039,0.21283082528123715,0.0466200433402264,1.3794738542918332,1.6132800205811286,0.9549977425023588,0.21213735526220068,0.22968662220316385
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.1,PureMLP,ood,4.0,0.729556986829266,-1.0,-1.0,0.79439338479105,0.9930863852089299,0.9829474690900292,0.13058533956754423,0.13807904081772396
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.25,PureProgram,iid,1.0,0.0,0.0,0.0,0.3313668486360939,0.39922359029011095,0.9427357355774327,0.23929952867184512,0.24571483660712332
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.25,UnpenalizedResidual,iid,1.0,0.6924128388054669,0.23652980327196885,1.0,0.045728611163223215,0.06015857315200184,0.9986996916586152,0.036059788426789655,0.03201484931565667
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.25,PenalizedScalarResidual,iid,1.0,0.8310680740978569,0.22525330472347246,0.06896601617336273,0.06019373323678491,0.08205767732018773,0.997580699951122,0.049186380725542225,0.039695335856070484
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.25,AdaptiveResidual,iid,1.0,0.8174328249879181,0.22566832387851224,0.2312930551415775,0.060144605533891456,0.08382531717117249,0.9974753469418846,0.050245925786230744,0.03765257908252357
