dataset,problem_type,model,variant,scope,selected_feature,mean_disagreement,mean_disagreement_seed_sd,max_disagreement,label_flip_rate,task_original,orbit_mean,orbit_worst,orbit_best,orbit_span,seeds,meaningful
diamonds,regression,controlled_mlp,orthogonal_one,one,table,0.02569197165203384,0.008965127668744502,0.029845157031237232,,687.8115607325608,683.2712252265507,689.6413334439827,672.5837626249479,17.057570819034936,3,False
diamonds,regression,tabicl_v2,condition_le_3_all,all,table,0.12633631470387624,0.0,0.1348286250518351,,1006.4715421648071,1101.4682520981742,1128.6293431429172,1029.6487657167368,98.98057742618039,3,True
diamonds,regression,tabicl_v2,orthogonal_all,all,table,0.13107580762714155,0.0,0.1466906016389876,,1006.4715421648071,1117.7570728570254,1153.592262315303,1076.4401657213955,77.15209659390757,3,True
diamonds,regression,tabicl_v2,orthogonal_one,one,table,0.06373351915644937,0.0,0.0903056434846534,,1006.4715421648071,1042.38293077643,1062.3170838645804,1016.4972251271232,45.81985873745714,3,True
diamonds,regression,tabm_d,condition_le_3_all,all,table,0.0745988971643754,0.0018680701924980625,0.11503004894453288,,677.1437513411129,690.5015886227899,718.3471854243568,668.2015120971596,50.14567332719715,3,True
diamonds,regression,tabm_d,orthogonal_all,all,table,0.07492488122055534,0.0017373633449604179,0.1023905611469677,,677.1437513411129,687.6006337282306,719.2463570221984,664.7563718810788,54.48998514111948,3,True
diamonds,regression,tabm_d,orthogonal_one,one,table,0.01647507361190547,0.0010169643644195748,0.021041324358251234,,677.1437513411129,680.4886482803395,686.121968840498,677.19235516125,8.92961367924795,3,False
diamonds,regression,tabpfn_2_6,condition_le_3_all,all,table,0.0774456007475745,0.003958039495772822,0.0894288716049716,,646.5862981110962,665.1473217811828,701.3229175973144,641.4421402431341,59.880777354180246,3,True
diamonds,regression,tabpfn_2_6,orthogonal_all,all,table,0.07500749744905043,0.006044921631307532,0.08418518093916283,,646.5862981110962,659.2437014705464,689.142328678643,629.8142300526862,59.32809862595684,3,True
diamonds,regression,tabpfn_2_6,orthogonal_one,one,table,0.01407068119535867,0.004187073068971878,0.016845646939646502,,646.5862981110962,648.8053024439486,656.7787601677568,641.125473731984,15.65328643577277,3,False
house_16H,regression,catboost,condition_le_3_all,all,P1,0.16225004380729552,0.0053065929537691285,0.1791087266695299,,34618.587276504346,35525.202627028986,36217.469002221,34794.01338217608,1423.4556200449126,3,True
house_16H,regression,catboost,orthogonal_all,all,P1,0.15511401839729622,0.0059247536249922555,0.17252897072501905,,34618.587276504346,35302.065501550016,35727.8482593713,34553.42731723507,1174.4209421362248,3,True
house_16H,regression,catboost,orthogonal_one,one,P1,0.11018650338090287,0.0019251878091904443,0.11673349501916426,,34618.587276504346,34502.420165856536,34943.158161075284,34123.91041385471,819.2477472205695,3,True
house_16H,regression,controlled_mlp,condition_le_3_all,all,P1,0.2560610345400808,0.01831572024559938,0.33571601519390254,,34877.37654710748,35830.86289241931,37083.779247985556,34817.069106257004,2266.710141728547,3,True
house_16H,regression,controlled_mlp,orthogonal_all,all,P1,0.19507148379929531,0.03262539784762244,0.30911616461680264,,34877.37654710748,35131.44449516549,35841.59564241827,34072.0421912839,1769.5534511343722,3,True
house_16H,regression,controlled_mlp,orthogonal_one,one,P1,0.14531984008325305,0.02884039748559665,0.2721822746631562,,34877.37654710748,35485.613337216695,36585.33824792077,34490.56017934731,2094.7780685734638,3,True
house_16H,regression,tabicl_v2,condition_le_3_all,all,P1,0.3143312414504554,0.0,0.3633742299442449,,31199.829036407562,31742.751651489623,32858.43491582944,30840.01924347144,2018.4156723580018,3,True
house_16H,regression,tabicl_v2,orthogonal_all,all,P1,0.3277369590769735,0.0,0.3698972874584901,,31199.829036407562,31705.846649304392,33214.65281737282,29974.234463539953,3240.4183538328653,3,True
house_16H,regression,tabicl_v2,orthogonal_one,one,P1,0.11150608949376721,0.0,0.135063165853892,,31199.829036407562,31506.57542875402,32324.64207169591,30950.19950010018,1374.442571595726,3,True
house_16H,regression,tabm_d,condition_le_3_all,all,P1,0.2605800797550179,0.005138440530196256,0.28912429004653434,,32856.18997254376,33423.853085680596,34474.30097853811,32407.288185816844,2067.0127927212634,3,True
house_16H,regression,tabm_d,orthogonal_all,all,P1,0.24776339853480242,0.000909336980338447,0.2760900706854748,,32856.18997254376,33272.770511881004,34562.892460748706,32319.87861903396,2243.0138417147414,3,True
house_16H,regression,tabm_d,orthogonal_one,one,P1,0.07123006649429321,0.008175606948900032,0.0879243771161856,,32856.18997254376,32520.248384815422,32985.06446566614,32192.24692161144,792.8175440546984,3,True
house_16H,regression,tabpfn_2_6,condition_le_3_all,all,P1,0.20348334892346195,0.0051517536739930205,0.22828156015803866,,31166.20002523244,32422.97154456216,33466.21418231,31497.339634138287,1968.8745481717135,3,True
house_16H,regression,tabpfn_2_6,orthogonal_all,all,P1,0.19704513246807445,0.002455245270977615,0.2127788107023546,,31166.20002523244,32518.74820645782,33683.98354122127,31706.640776262695,1977.342764958572,3,True
house_16H,regression,tabpfn_2_6,orthogonal_one,one,P1,0.05358228722727898,0.011241227898916488,0.0594747489132574,,31166.20002523244,31073.95947018164,31252.297239272037,30858.1969565196,394.10028275243286,3,True
pendigits,classification,catboost,condition_le_3_all,all,input15,0.022357534422113634,0.0007395991795191677,0.0247842367945986,0.017985026041666668,0.2023046120665286,0.22792507999487235,0.23638145940883545,0.22025808436105362,0.01612337504778184,3,False
pendigits,classification,catboost,orthogonal_all,all,input15,0.021269452408735078,0.0009754434522475019,0.023293461189522233,0.017740885416666668,0.2023046120665286,0.22352236244346002,0.22829342863529586,0.21704265121449162,0.011250777420804223,3,False
